Original Filename,Shot Filename,Total Number of Keyframes,Keyframes in Shot,Keyframes per Second (Shot),Total Original Time,Start Time,End Time
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_28_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,4,1.3157894736842017,389.403,178.64,181.68
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_29_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,8,1.6949152542372885,389.403,181.68,186.4
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_30_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,3,1.2096774193548436,389.403,186.4,188.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_31_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,13,2.1666666666666665,389.403,188.88,194.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_32_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,15,2.5,389.403,194.88,200.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_33_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,5,2.15517241379311,389.403,200.88,203.2
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_34_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,4,1.1904761904761856,389.403,203.2,206.56
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_35_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,13,2.0312499999999982,389.403,206.56,212.96
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_36_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,7,2.651515151515165,389.403,212.96,215.6
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_37_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,13,2.8017241379310254,389.403,215.6,220.24
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_38_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,3,1.7045454545454632,389.403,220.24,222.0
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_39_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,19,3.893442622950823,389.403,222.0,226.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_40_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,13,1.4008620689655171,389.403,226.88,236.16
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_41_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,3,1.388888888888891,389.403,236.16,238.32
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_42_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,14,2.7777777777777666,389.403,238.32,243.36
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_43_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,10,2.1186440677966107,389.403,243.36,248.08
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_44_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,17,2.9720279720279725,389.403,248.08,253.8
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_45_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,8,2.500000000000009,389.403,253.8,257.0
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_46_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,17,2.4147727272727204,389.403,257.0,264.04
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_47_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,28,2.734375000000013,389.403,264.04,274.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_48_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,5,1.3297872340425363,389.403,274.28,278.04
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_49_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,8,1.7543859649122797,389.403,278.04,282.6
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_50_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,28,2.2435897435897507,389.403,282.6,295.08
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_51_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,45,2.8698979591836724,389.403,295.08,310.76
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_52_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,5,1.7361111111111138,389.403,310.76,313.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_53_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,20,2.1551724137930965,389.403,313.64,322.92
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_54_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,20,2.1367521367521465,389.403,322.92,332.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_55_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,12,3.4883720930232003,389.403,332.28,335.72
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_56_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,11,1.3221153846153857,389.403,335.72,344.04
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_57_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,5,1.2254901960784361,389.403,344.04,348.12
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_58_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,15,3.6057692307692584,389.403,348.12,352.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_59_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,19,4.094827586206859,389.403,352.28,356.92
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_60_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,13,4.166666666666661,389.403,356.92,360.04
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_61_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,16,2.739726027397272,389.403,360.04,365.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_62_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,3,1.2500000000000118,389.403,365.88,368.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_63_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,31,3.0753968253968127,389.403,368.28,378.36
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_64_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,12,2.307692307692313,389.403,378.36,383.56
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_65_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,21,3.5940441553996125,389.403,383.56,389.403
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_1_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,4,1.1904761904761905,278.003,0,3.36
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_2_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,21,2.4193548387096775,278.003,3.36,12.04
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_3_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,25,2.0833333333333335,278.003,12.04,24.04
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_4_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,34,1.9230769230769231,278.003,24.04,41.72
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_5_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,36,2.8301886792452833,278.003,41.72,54.44
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_6_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,37,2.8906250000000004,278.003,54.44,67.24
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_7_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,56,2.486678507992894,278.003,67.24,89.76
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_8_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,12,2.5210084033613493,278.003,89.76,94.52
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_9_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,45,1.79140127388535,278.003,94.52,119.64
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_10_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,30,2.2058823529411753,278.003,119.64,133.24
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_11_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,8,2.500000000000009,278.003,133.24,136.44
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_12_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,69,2.551775147928995,278.003,136.44,163.48
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_13_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,33,3.2738095238095197,278.003,163.48,173.56
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_14_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,20,1.7241379310344835,278.003,173.56,185.16
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_15_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,18,2.472527472527472,278.003,185.16,192.44
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_16_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,24,2.1897810218978084,278.003,192.44,203.4
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_17_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,56,1.9390581717451527,278.003,203.4,232.28
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_18_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,24,1.5544041450777204,278.003,232.28,247.72
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_19_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,20,2.0661157024793435,278.003,247.72,257.4
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_20_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,9,2.5568181818181537,278.003,257.4,260.92
101_0_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,101_21_1CF7EC73-387-00004-000003E4-1CF61C1D.webm,624,43,2.5171222853128885,278.003,260.92,278.003
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_1_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,6,1.111111111111111,493.243,0,5.4
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_2_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,9,1.8145161290322585,493.243,5.4,10.36
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_3_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,6,1.2931034482758619,493.243,10.36,15.0
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_4_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,7,1.5624999999999998,493.243,15.0,19.48
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_5_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,5,1.1792452830188684,493.243,19.48,23.72
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_6_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,10,2.777777777777777,493.243,23.72,27.32
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_7_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,19,2.351485148514852,493.243,27.32,35.4
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_8_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,11,1.6176470588235283,493.243,35.4,42.2
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_9_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,13,2.754237288135594,493.243,42.2,46.92
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_10_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,3.125000000000003,493.243,46.92,50.76
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_11_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,4,3.3333333333333255,493.243,50.76,51.96
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_12_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,3.750000000000005,493.243,51.96,55.16
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_13_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,18,4.166666666666666,493.243,55.16,59.48
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_14_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,10,2.659574468085103,493.243,59.48,63.24
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_15_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,7,1.3257575757575772,493.243,63.24,68.52
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_16_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,2.7777777777777732,493.243,68.52,72.84
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_17_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,23,2.7912621359223317,493.243,72.84,81.08
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_18_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,4.054054054054043,493.243,81.08,84.04
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_19_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,3,1.7045454545454632,493.243,84.04,85.8
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_20_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,15,2.9761904761904723,493.243,85.8,90.84
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_21_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,9,2.8124999999999973,493.243,90.84,94.04
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_22_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,6,1.9230769230769291,493.243,94.04,97.16
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_23_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,3,1.5,493.243,97.16,99.16
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_24_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,15,2.2321428571428577,493.243,99.16,105.88
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_25_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,6,1.744186046511629,493.243,105.88,109.32
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_26_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,9,4.017857142857126,493.243,109.32,111.56
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_27_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,17,3.3730158730158784,493.243,111.56,116.6
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_28_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,3.4090909090908994,493.243,116.6,120.12
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_29_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,8,2.0,493.243,120.12,124.12
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_30_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,14,3.7234042553191578,493.243,124.12,127.88
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_31_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,15,1.994680851063827,493.243,127.88,135.4
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_32_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,12,3.4090909090909265,493.243,135.4,138.92
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_33_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,6,2.2058823529411775,493.243,138.92,141.64
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_34_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,4,1.9230769230769116,493.243,141.64,143.72
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_35_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,11,2.412280701754385,493.243,143.72,148.28
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_36_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,10,3.2051282051282004,493.243,148.28,151.4
102_0_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,102_37_1CF7EDF1-329-00006-000003E4-1CF61C1D.webm,1056,3,1.6304347826086927,493.243,151.4,153.24
