Video-Filename,English-Manual-Response-Correction
111_6_1CF7F689-1B1-00019-000003E4-1CF61C1D,"The video shows a boat with bright lights and a crowd of people on board, floating on a dark body of water. The boat is decorated with colorful flags and balloons, and there is a boat which occludes the festive gathering for a moment. The people on board are holding up their phones to take pictures or videos of the scene. The video is shot at night, and the only light sources are the boat's lights. The scene is festive and celebratory, and it appears to be a special event or holiday."
111_8_1CF7F689-1B1-00019-000003E4-1CF61C1D,"In the video, a bright and colorful firework is visible against a dark background, with the sparks flying upwards and outwards in all directions. The firework is yellow and orange in color, with streaks of green and blue. The sparks are flying in every direction, creating a dazzling display of light and color. The firework is surrounded by leaves and branches, which are illuminated by the sparks. The video is shot at night, and the stars are visible in the sky above the firework."
112_4_1CF7FC2D-24A-0001C-000003E4-1CF61C1D,"The video shows a group of people standing on a pier or dock, with a large circular building or structure visible in the background. The people are dressed in casual clothing and are standing in a relaxed manner, looking around and chatting. There are also several vehicles parked on the pier, including a van and a car. The scene is overcast and the sky is gray, with the water in the background appearing calm and still. The circular building appears to have a domed roof and is surrounded by a fence or railing. The video pans to the right to show more of the pier and the surrounding area, including a small boat moored in the water."
113_15_1CF7FE92-00E-0001F-000003E4-1CF61C1D,"The video shows a view of a river with a cargo ship and a tanker in the background. The river is calm and the water is clear, reflecting the grayish-blue sky. In the distance, a port city skyline can be seen with several high-rise buildings and a few cranes. The cargo ship is moving down the river, leaving behind a trail of waves. The tanker is stationary, with its loading arms extending out into the river. The sky is overcast, with a few white clouds scattered across it."
114_24_1CF7FF3E-0DE-00022-000003E4-1CF61C1D,"The video shows a breathtaking aerial view of a rocky coastline with a flock of seagulls flying and perched on the cliffs. The camera pans to the right, revealing the vast expanse of the ocean and the rugged coastline. The cliffs are covered with vegetation, and the seagulls can be seen flying and landing on the rocks. The video captures the beauty of the coastline and the seagulls in their natural habitat. The lighting is warm and natural, adding to the serene atmosphere of the scene. The video is shot in a steady and smooth manner, allowing the viewer to fully appreciate the beauty of the coastline and the seagulls."
115_6_1CF80045-24C-00025-000003E4-1CF61C1D,"In the video, a signpost with a warning is visable. The sign is placed on top of a mound of sand, and there are several other mounds of sand in the background. The video is filmed on a cloudy day, and the sky is visible in the background. The landscape is flat and open, with no buildings or structures visible. The video is filmed from a distance, and the signpost is the main focus of the shot. The video is in color, and the lighting is even."
116_1_1CF80129-268-00028-000003E4-1CF61C1D,"The video shows a scenic view of a canal in the Netherlands. The camera pans across the water, showing a boat docked at the pier. The camera then focuses on the small, red and white boat with a group of people standing on an elevated area, chatting and waving. The boat is adorned with colorful flags and has a small cabin at the rear. In the background, the camera captures picturesque Dutch houses with gabled roofs and narrow facades, giving a sense of quaintness and charm to the scene. The sun is setting, casting a warm orange glow over the scene."
117_4_1CF80272-052-0002B-000003E4-1CF61C1D,"The video shows a residential area with a river running through it. The camera pans across the scene, showing a variety of houses and buildings along the riverbank. Some of the houses have reflections of trees and sky in the windows, giving the impression of a peaceful and serene environment. A few cars and a motorbike can be seen driving along the road that runs along the riverbank  near the water's edge. The houses are all single-story and have a classic Dutch design, with sloping roofs and large windows. The river itself is narrow and calm, with a few small boats and a bridge visible in the distance."
118_3_1CF803D3-00B-0002E-000003E4-1CF61C1D,"The video presents a serene scene of a barge moving through a waterway. The barge's flat deck is visible, and it is flanked by water on both sides. The video shows a wide river with industrial buildings and cranes on both sides. The camera is mounted on a large ship and it appears to be navigating towards the the habour. The ship has a white hull, and a large crane is visible in the distance. The video also shows a bridge in the distance. The sky is overcast, and there is a layer of fog visible in the distance. The water is choppy, with waves breaking against the shore."
119_3_1CF80487-182-00031-000003E4-1CF61C1D,"The video depicts a lively outdoor market bustling with activity. People of various ages and attire are seen walking around, engaging in conversations, and browsing through the stalls. The stalls are vibrant with colorful flowers and fresh produce, indicating a variety of goods available for purchase. The atmosphere is casual and leisurely, with individuals and groups meandering through the market, some stopping to look at items while others continue on their way. The market is set in an urban environment with buildings in the background, suggesting a city setting."
11_8_1C5356EE-0E2-000F3-00000FEC-1C526C36,"The video shows a small gray kitten playing on a wooden floor. The kitten is standing on its hind legs and paws, looking around curiously. Its tail is wagging back and forth as it moves. The kitten is surrounded by a dark brown background, and there is a curtain next to the cat. The lighting is dim, and the only source of light seems to be coming from the window on the left side of the frame. The camera is positioned low to the ground, providing a close-up view of the kitten's actions."
120_1_1CF80687-1EA-00034-000003E4-1CF61C1D,"In the video, a man is seen walking towards a table set up in the outdoors, among several buildings and a pool. The table is covered with a colorful awning and there are various dishes and utensils on it. The man only wears light grey pants. He is holding a plate and a glass of juice. The camera pans to the left, showing more of the buildings and the pool. The man is seen walking away from the table, holding his plate and glass. "
121_1_1CF80847-215-00038-000003E4-1CF61C1D,"In the video, a yellow school bus is visible driving down a road surrounded by trees and a few buildings in the background. The bus is old and has a boxy shape with a large front grille and rounded headlights. The bus is driving past a few pedestrian crossing and there are other cars visible in the background driving in both directions. The buildings in the background are multi-story and have a mix of modern and older architectural styles. The trees are tall and green, and there are streetlights and traffic lights visible along the road. The video is shot in a wide-angle perspective, giving a sense of the busy street and the surrounding environment."
122_1_1CF80961-223-0003A-000003E4-1CF61C1D,"The video shows a group of children sitting on a grassy area in a park, surrounded by trees and a few other people. One child, a boy, is standing and holding a icecreme, while another child, a girl, is sitting and looking at him with a smile. The boy is wearing a blue shirt and white shorts, while the girl is wearing a yellow t-shirt and a brown skirt. The atmosphere appears to be relaxed and happy, with the children laughing and smiling at each other. The video is shot in a natural setting, with the sun shining down and casting a warm glow over the scene."
123_4_1CF80A3E-28A-0003C-000003E4-1CF61C1D,"The video shows a group of people gathered in a conference room, with a man speaking at a podium. The man is wearing a purple robe and a microphone headset, and is addressing the audience. The audience is seated in a semi-circle, with women in brightly colored dresses and men in suits. The room is decorated with flags and banners, and there is a large screen behind the speaker with the words written in bold letters. The speaker is gesticulating with his hands as he talks, and the audience is listening attentively. The video is in color and has a clear audio track."
124_10_1CF80CB6-0A0-0003E-000003E4-1CF61C1D,"In this video, a black African man is driving a bus, and he is wearing a white shirt and a tie. The bus is parked in front of a wooden building with a sloping roof, and there are trees and a garden visible in the background. The man is looking at a ranger or guard that confronts him. The steering wheel is in front of him, and there are buttons and dials on it. The bus has a long body and a high roof, and it is painted in a white color. The windows are tinted, and there are reflections of the trees and building on them. The ranger's face is not clearly visible, but his hair and cap are visible in the reflection on the windshield."
125_13_1CF80D22-2C5-00040-000003E4-1CF61C1D,"The video shows a tranquil scene of a crocodile enclosure in a zoo. In the foreground, a sign is visible.""  The camera pans left to reveal a group of crocodiles basking in the sun near the edge of a small pond. The crocodiles are of various sizes, ranging from juveniles to adults. The other crocodiles seem to be unaware of the camera's presence and continue to bask in the sun. The scene is captured in a clear and calm manner, with the sunlight casting a warm glow over the entire area."
126_9_1CF80D8C-2B7-00043-000003E4-1CF61C1D," The video shows a close-up view of a stage with a golden statue of a bird on it. The statue has intricate details and appears to be made of a shiny metal. The stage is decorated with purple and blue lights, giving it a majestic look. The background is a dark grey or black color, and there are spotlights shining down on the stage. As the camera pans out, we can see that the stage is located in a large auditorium or conference hall. There are rows of seats in the background. There are also several flags and banners hanging from the walls."
127_12_1CF80F4E-2A0-00045-000003E4-1CF61C1D,"In the video, a group of African dancers are performing on a stage. The dancers are wearing traditional yellow and orange clothing and headdresses. They are standing in a line and moving in unison, their arms and hands gesturing in the air. The men are holding drums and shaking them to the beat of the music. The women are holding flags and skirts, and they are dancing with graceful movements. The stagee lighting is bright. The dancers are moving to the rhythm of the drums, their feet tapping on the floor."
128_2_1CF8111D-044-00047-000003E4-1CF61C1D,"The video shows a bird's eye view of a rural landscape with a vast expanse of farmland stretching as far as the eye can see. In the distance, a body of water can be seen, likely a lake or a river. The farmland is covered with crops, including rows of wheat, corn, and soybeans. Closer to the horizon, a small village can be seen, with a few houses and buildings surrounded by trees. The landscape is largely flat, with a few rolling hills in the distance. The sky is clear, with a few puffy clouds scattered about."
129_70_1CF811D5-31A-0004A-000003E4-1CF61C1D,"The video depicts a close-up view of a termite mound in a forest. The mound is made of soil and vegetation, with a small opening at the top. The camera pans out to reveal the surrounding trees and underbrush, with the mound standing out amidst the lush green foliage. The video then cuts to a close-up of the mound, showing the intricate patterns of soil and vegetation that make up its structure. The camera zooms in further, revealing the tiny termites scurrying about within the mound. The video then zooms out to a wider shot, showing the mound in its natural environment."
130_5_1CF814FF-3C6-00050-000003E4-1CF61C1D,"The video shows a scenic view of the city of Helsinki, Finland, with a few sailboats and a large ship visible in the harbor. The camera pans across the horizon, showing the outline of the city skyline and the blue waters of the sea. The ship in front appears to be a large cargo vessel or tourist ship with large masts. The sky is clear and blue, with a few puffy clouds scattered about. The sun is shining down, casting a warm glow over the scene. The buildings in the background are a mix of modern and historic architecture, with the distinctive white cupola of the Helsinki Cathedral visible in the distance."
131_1_1CF81963-0C9-00052-000003E4-1CF61C1D,"The video shows a scenic view of a rocky coastline with a small lighthouse and a large round building in the background. The camera pans across the water, revealing a few boats and ships in the distance. First it shows the round structure and the natural rock shoreline, which is covered with lush vegitation. Then the lighthouse is visible in the end of the video, with its red and white stripes and white roof standing out against the green landscape. The water is calm and reflects the blue sky above. The shore is covered with rocks and trees, and a small beach can be seen in the corner of the frame. The video is captured in a serene and peaceful setting, with the sound of waves gently lapping against the shore in the background."
132_6_1CF81A56-384-00054-000003E4-1CF61C1D,"In the video, a group of people are standing near a stream in a forest. One person is holding a large pan and walking towards the camera. There are several other people in the background doing the same and some of whom are kneeling or bending down to collect something from the ground. Maybe they are prospecting for Gold in the river bed. The stream is shallow and rocky, with a few small trees and bushes growing along its banks. The sun is shining and the grass is dry and yellow. The people in the video are wearing casual outdoor clothing and some are wearing rubber boots. The stream bed is visible and looks rocky and uneven. There is a small wooden bridge in the background."
133_9_1CF81AF6-160-00055-000003E4-1CF61C1D,"The video shows a group of people sitting around a fire in a tent, possibly in a remote wilderness setting. The tent is made of canvas and has a wooden frame. There are may people sitting around the fire, including a woman and a man who are both wearing brightly colored sweaters. The man is holding a plate and a spoon, and the woman is holding a bowl. The fire is burning in a metal ring, and there are several wooden logs stacked nearby. The flames are dancing and casting shadows on the walls of the tent. The people are all smiling and chatting, and one of them is laughing. The atmosphere is cozy and convivial."
134_2_1CF81BD1-024-00058-000003E4-1CF61C1D,"The video shows a scenic view of the countryside at sunset, with rolling hills and mountains in the distance. In the foreground, there is a wooden signpost with several signs pointing towards different directions. The signs appear to be hand-made and have faded with time, but they still retain their charm. The camera pans to the left, revealing a small wooden hut with a sloping roof and a chimney. The hut seems to be surrounded by trees and bushes, giving it a secluded and peaceful atmosphere. The sky is painted with warm hues of orange, pink, and purple, adding to the serene ambiance of the scene."
135_4_1CF81CAE-38D-0005B-000003E4-1CF61C1D,"In the video, a wooden birdhouse can be seen standing on top of a stone base in a clearing surrounded by trees and a forest. The birdhouse has a sloping roof and a small door on the front. A person can be seen walking towards the birdhouse and approaching it from the right side of the frame. The person appears to be looking up at the birdhouse and possibly checking on the birds inside, then walks away. The video is shot in a wide-angle perspective, showcasing the surrounding landscape and the birdhouse in detail. The scene is bright and sunny, with the trees and grass in the background appearing to be lush and green."
136_1_1CF81D8F-330-0005E-000003E4-1CF61C1D,"In this video, a group of people can be seen gathered inside a tent, surrounded by various instruments and props. An elderly man  is standing in the center singing and another man is playing a guitar. He is accompanied by a younger woman with  curly hair and a colorful jacket singing with him. Their voices are strong and clear, and they gesture with their hands as they sing. There are several other people in the background, some of whom are clapping along to the music. The tent is dimly lit, and the atmosphere is cozy and intimate."
137_7_1CF82000-2DE-00060-000003E4-1CF61C1D,"The video shows a woman walking through a park, surrounded by lush greenery and blooming flowers. The camera pans and zooms to show the woman's face, her pink shirt, and her white shorts. She is walking towards an opening in the bushes where she continues to walk in another section of the park, surrounded by tall trees and colorful flowers, creating a picturesque setting.  The video ends with a shot of the woman walking away through the opening of two bushes with tress and water in the background."
138_13_1CF820EE-199-00063-000003E4-1CF61C1D,"The video shows a serene landscape of a mountainous coastline in the background and a sailboat in calm water in the foreground. The camera pans across the shore, showcasing the rugged rocky  terrain covered with bushes and other smaller vegetation. In the foreground a sailboat floats peacefully on the water. The landscape is dominated by large rocks and cliffs, with a few trees scattered here and there. The sea is crystal clear, reflecting the blue sky above. The camera captures the tranquility of the scene, with the only sound being the gentle lapping of the waves against the shore."
139_4_1CF82263-2A2-00065-000003E4-1CF61C1D,"The video shows a first-person perspective of riding in a tuk-tuk through a busy street Southeast Asia, possibly Bangkok in Thailand. The camera is positioned on the dashboard of the tuk-tuk, and the viewer is looking straight ahead. The street is filled with traffic, including cars, buses, and other tuk-tuks. The buildings on either side of the street are high-rise and medium-rise with some having neon signs and billboards advertising various businesses. The tuk-tuk driver is wearing a purple shirt, and is navigating through the crowded street with skill and confidence. The sun is shining through the windshield, casting a warm glow over the scene. In the background, pedestrians are walking along the sidewalk, and street vendors are selling goods from carts and kiosks. The tuk-tuk is traveling at a moderate pace, and the ride is smooth and comfortable. "
140_26_1CF9252B-190-00038-0000156D-1CF8BF1D,"The video captures a bustling scene on a river where numerous small boats are navigating through the waters. Each boat is manned by one or more individuals, some of whom are wearing hats, suggesting a sunny day or the need for protection from the sun. The boats vary in size and shape, with some appearing to be used for transporting goods, as indicated by the presence of baskets and other items. The river is busy, with boats moving in different directions, creating a dynamic and lively atmosphere. The water reflects the boats and the sky, adding to the picturesque quality of the scene. The individuals maybe attending a floating market."
141_12_1CF92678-311-0003D-0000156D-1CF8BF1D,"The video shows a group of people, including men and women, wearing traditional Thai costumes, performing a parade on a street. They are surrounded by a lush green backdrop and a wooden fence and building. The man in the front is playing a drum and the women are holding fans and scarves. The parade is full of graceful movements and expressive gestures. The performers are smiling and enjoying the performance. The procession culminates with the entrance of an elephant, decorated with a red cloth and a yellow flower on its head. The elephant is accompanied by a man in a red shirt and blue pants, who appears to be guiding it."
142_10_1CF92829-399-00042-0000156D-1CF8BF1D,"The video captures a sequence of events where two elephants are performing in front of an audience. Initially, one elephant is seen with a person riding on its back, while the other elephant is partially visible. As the video progresses, the second elephant becomes fully visible and is also seen with a person on its back. The setting appears to be outdoors, with a crowd of onlookers gathered around the elephants, suggesting a public performance or exhibition. The elephants are large, grey, and have long trunks. The riders are dressed in bright red shirts, which stand out against the elephants' grey skin. The crowd is diverse, with people of different ages and appearances, all focused on the elephants. The environment is bright and sunny, indicating daytime. The video does not show any specific actions or movements from the elephants or the riders, but the presence of the crowd and the positioning of the elephants suggest that they are the center of attention for the event."
143_32_1CF92973-052-00047-0000156D-1CF8BF1D,"The video shows a close-up view of a temple's facade in Thailand, specifically the Wat Arun in Bangkok. The temple's exterior is adorned with intricate carvings and statues of mythical creatures, such as dragons and demons. The carvings depict various scenes from Thai mythology and Buddhist teachings. The temple's roof is decorated with a series of peaks, each one topped with a statue of a horse or elephant. The video pans up to show a statue of a horse and it's rider."
144_66_1CF92A79-230-0004C-0000156D-1CF8BF1D,"The video shows a close-up view of a Thai temple's roof in southeast asia. The camera pans up to reveal the intricate details of the golden carvings on the peak of the roof. The carvings depict various mythical creatures and figures, including dragons, serpents, and gods. The camera continues to pan up, showing the temple's central spire and the colorful tile work on the roof. The video ends with a view of the temple's facade, highlighting the intricate carvings and details on the walls. The video is shot in a slow and steady pace, allowing the viewer to take in the details of the temple's architecture and decorations. The lighting is bright and natural, emphasizing the golden hues of the carvings and tiles."
145_69_1CF92B28-1F0-00051-0000156D-1CF8BF1D,"The video shows a tranquil scene of a park with a small man-made pond in the center, surrounded by lush greenery and walking paths. In the pond, there are four ornate fountains with jets of water shooting up into the air, creating a soothing sound and gentle ripples on the surface of the water. The fountains are surrounded by colorful flowers and well-manicured lawns, adding to the beauty of the scene. The camera pans slowly across the park, capturing the serene atmosphere and the various features of the landscape, including a small footbridge and a few benches for visitors to sit and enjoy the view."
146_3_1CF92E87-001-00060-0000156D-1CF8BF1D,"The video shows an aerial view of a the bustling cityscape of Hong Kong at night, with towering skyscrapers and brightly lit buildings dotting the horizon. In the foreground, a rooftop with a distinctive dome-shaped structure can be seen, possibly a hotel or apartment building. The camera pans and tilts to capture the city's skyline, showcasing the dense urban development and the vibrant nightlife. The video highlights the city's towering skyscrapers, including one with a brightly lit spire that stands out against the dark night sky. The camera continues to pan and tilt, revealing the city's busy streets and illuminated high-rise buildings."
147_6_1CF92F65-2AD-00064-0000156D-1CF8BF1D,"The video shows a scenic view of traditional Chinese buildings and junk boats on the waterfront in Hong Kong. The camera is positioned on a boat, slowly sailing along the river. The buildings are colorful and ornate, with intricate carvings and red lanterns hanging from the eaves. Some of the buildings have a distinctive curved roofline, while others have more angular designs. The boats in the water are a mix of modern and traditional vessels, with some featuring intricate wood carvings and brightly colored sails. The water is calm, reflecting the vibrant colors of the buildings and boats. In the background, a mountain range is visible, with a hint of mist in the distance. "
148_6_1CF9303C-324-00069-0000156D-1CF8BF1D,"The video showcases a collection of traditional Chinese food, specifically dried animal parts, displayed in cardboard boxes. Initially, the focus is on a box containing several pieces of what appear to be dried lizards or snakes, with one piece prominently featuring a red label. As the video progresses, the camera pans to reveal more boxes, each containing different types of dried animal parts, such as bones and other unidentifiable items, also labeled with red tags. The environment suggests a market or store setting, where these items are likely being sold or displayed for sale. The camera movement is smooth, providing a comprehensive view of the variety of products available."
149_12_1CF93176-107-0006E-0000156D-1CF8BF1D,"The video shows a high-rise building in Hong Kong, with multiple reflective glass surfaces that shimmer and glimmer in the light. The camera pans across the facade, showing the various angles and reflections of the building's design. The windows and balconies are reflective as well, creating a dazzling display of light and color. The building's shape is sleek and modern, with clean lines and sharp angles. The video ends with a close-up of the building's top floors, which are shrouded in mist and clouds."
14_1_1C547529-38D-0010E-0000069C-1C53BDB6,"The video shows a military band playing during a parade. The camera pans across the band members, showing their instruments and uniforms. The band is playing in unison, with a clear and steady rhythm. The instruments include trumpets, trombones, and tubas, all shiny and well-maintained. The musicians are dressed in matching uniforms with gold buttons and epaulets, giving a sense of professionalism and discipline. The audience is visible in the background, clapping and cheering along to the music."
150_10_1CF932EB-17A-00070-0000156D-1CF8BF1D,"In this video, we see a shot of a traditional Chinese temple, possibly in Taiwan. The camera pans across the altar, showing various offerings such as fruit, incense, and flowers. The altar is adorned with intricate carvings and golden statues of deities. In the background, we can see the heads of devotees bowed in prayer. The temple's decorations and colorful lights create a lively and festive atmosphere. The video captures the vibrant and spiritual energy of the temple, showcasing the importance of religion and tradition in Chinese culture."
151_3_1CF933C5-341-00075-0000156D-1CF8BF1D,"The video opens with a shot of a sign that reads ""THE NATIONAL ORCHID GARDEN WELCOMES HER 1ST MILLIONTH VISITOR JANUARY 1997 SINGAPORE,"" set against a backdrop of lush greenery and blooming flowers. As the video progresses, the camera pans to the right, revealing more of the garden's vibrant flora and a tranquil water feature with cascading water. The garden appears well-maintained, with a variety of orchids and other plants contributing to a serene and picturesque environment. The focus remains on the natural beauty of the garden throughout the video."
152_108_1CF93435-0D3-00078-0000156D-1CF8BF1D,"The video depicts a traditional ceremony where a large wooden statue, adorned with golden ornaments and horns, is being burned. The statue, which resembles a mythical bull creature, is engulfed in flames at its base, with smoke rising into the sky. Surrounding the statue are trees, indicating that the event is taking place outdoors, possibly in a forested area. Two individuals are visible near the statue; one is standing on the ground, partially obscured by the flames, while the other is perched atop the statue, seemingly overseeing the process."
152_27_1CF93435-0D3-00078-0000156D-1CF8BF1D,"The video shows a traditional south east Asian procession. The procession is led by a group of musicians playing traditional instruments, followed by a group of dancers wearing blue costumes and headdresses. They are carrying offerings and moving in a choreographed manner.. The procession is being watched by a crowd of people standing on the sidewalks and in front of houses. The scene is bright and colorful, with the sunlight reflecting off the gold and blue costumes and the flowers. The atmosphere is festive and lively, with the music and dancing creating a joyful atmosphere."
153_5_1CF93769-329-0007D-0000156D-1CF8BF1D,"The video shows a street festival in a city in Asia, with a truck driving through the streets while people in traditional costumes dance and wave to the crowd. The truck is decorated with colorful streamers and banners, and the people on board are wearing brightly colored costumes with dragon or lion-like headpieces. They are holding long poles with flags on the end, and are waving and dancing to the music playing on the truck's sound system. The street is lined with shops and vendors selling food and souvenirs. The video is shot in a bright, colorful style and has a festive and celebratory atmosphere."
154_4_1CF937EE-3C5-0007F-0000156D-1CF8BF1D,"The video shows a bustling street market in an Asian city at night. The scene is illuminated by colorful neon lights and street lamps, casting a warm glow over the proceedings. People are milling about, some of them carrying shopping bags or pushing carts. There are stalls set up on either side of the street, selling a variety of goods such as clothing, electronics, and food. The camera pans across the street, showing the activity and energy of the market. In the background, one can see the tall buildings of the city skyline, a reminder of the urban setting. The video is shot in a wide-angle format, capturing the entire scene and emphasizing the sense of space and activity."
155_21_1CF93825-322-00081-0000156D-1CF8BF1D,"The video shows a street vendor selling flowers and garlands in a busy market. The vendor is standing behind a table filled with colorful flowers and garlands, and is arranging a garland of yellow and orange marigolds. The camera is positioned at a slightly elevated angle, providing a clear view of the vendor's hands and the products on display. The market background is blurred, placing the focus on the vendor and the flowers. The video captures the details of the flowers, such as the different shades of yellow and orange, and the delicate petals. The vendor's hands are also visible, carefully arranging the flowers and garlands."
156_7_1CF93931-126-00086-0000156D-1CF8BF1D,"The video captures a serene scene at a traditional Chinese temple, where a fountain sprays water into a circular pond. The temple's architecture is characterized by ornate red pillars and a yellow-tiled roof, creating a vibrant contrast with the surrounding greenery. Along the pond's edge, a row of red umbrellas is neatly lined up, adding a pop of color to the tranquil setting. As the video progresses, the fountain remains a constant, spraying water into the pond, while the red umbrellas stand still, undisturbed by the gentle flow of water. The scene is peaceful, with no visible movement or activity other than the fountain's steady stream. The temple's design and the arrangement of the umbrellas suggest a place of cultural or religious significance, inviting contemplation and reverence."
157_10_1CF93A98-1B2-00089-0000156D-1CF8BF1D,"The video opens with a shot of a traditional Balinese temple gate, adorned with intricate carvings and colorful flags. Two men, dressed in an big elaborate golden costume and wearing masks, are seen walking towards the camera, their movements fluid and graceful. As the men approach the camera, we can see that they are carrying offerings on their shoulders, such as fruit, flowers, and incense. They stop in front of the audience and perform a traditional dance, their movements sharp and precise. The dancers are dressed in elaborate costumes, complete with headdresses and jewelry. The video then zooms out and shows the temple's courtyard, where we see a group of people gathered for the performance. They are dressed in traditional clothing, and are seated on mats or standing around the courtyard. "
